tab	measurements
citations	location	sample	site	specimen	experiment	instrument_codes	method_codes	magic_software_packages	dir_csd	dir_dec	description	quality	dir_inc	magn_moment	number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp
This study	Puff Island	Puf1-2	Puf1-2	Puf1-2a	Puf1-2a:LP-DIR-T	hargrave 2016-05-16 13:03:55	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.4	036.9		g	 32.2 	5.44e-06	13	1	1.06e-07	6.25e-08	7.79e-08	u	273	0	0	0.00	-90.00	  833.0
This study	Puff Island	Puf1-2	Puf1-2	Puf1-2a	Puf1-2a:LP-DIR-T	hargrave 2016-05-16 19:05:38	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.8	038.0		g	 32.1 	5.09e-06	14	1	1.86e-07	1.60e-07	6.94e-08	u	273	0	0	0.00	-90.00	  843.0
This study	Puff Island	Puf1-2	Puf1-2	Puf1-2a	Puf1-2a:LP-DIR-T	hargrave 2016-05-17 15:22:39	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    3.3	037.9		g	 32.1 	4.84e-06	15	1	1.95e-07	1.94e-07	6.67e-08	u	273	0	0	0.00	-90.00	  848.0
This study	Puff Island	Puf1-2	Puf1-2	Puf1-2a	Puf1-2a:LP-DIR-T	hargrave 2016-05-18 12:15:27	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.3	039.2		g	 32.2 	4.64e-06	16	1	7.00e-08	5.44e-08	6.26e-08	u	273	0	0	0.00	-90.00	  853.0
This study	Puff Island	Puf1-3	Puf1-3	Puf1-3a	Puf1-3a:LP-DIR-T	hargrave 2016-04-08 17:29:45	LT-NO:LP-DIR-T	pmagpy-3.4.1	    3.7	203.2		g	 09.9 	9.62e-06	1	1	2.46e-07	5.42e-07	1.59e-07	u	273	0	0	0.00	-90.00	273
This study	Puff Island	Puf1-3	Puf1-3	Puf1-3a	Puf1-3a:LP-DIR-T	hargrave 2016-04-11 17:53:10	LT-LT-Z:LP-DIR-T	pmagpy-3.4.1	    4.1	202.9		g	 09.8 	9.63e-06	2	1	2.70e-07	6.20e-07	1.58e-07	u	273	0	0	0.00	-90.00	77
This study	Puff Island	Puf1-3	Puf1-3	Puf1-3a	Puf1-3a:LP-DIR-T	hargrave 2016-04-18 10:25:34	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    3.6	202.0		g	 09.3 	9.64e-06	3	1	2.27e-07	5.30e-07	1.85e-07	u	273	0	0	0.00	-90.00	  373.0
This study	Puff Island	Puf1-3	Puf1-3	Puf1-3a	Puf1-3a:LP-DIR-T	hargrave 2016-04-18 17:38:36	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.5	204.5		g	 07.8 	9.94e-06	4	1	5.20e-08	1.48e-07	2.14e-07	u	273	0	0	0.00	-90.00	  473.0
This study	Puff Island	Puf1-3	Puf1-3	Puf1-3a	Puf1-3a:LP-DIR-T	hargrave 2016-04-19 13:27:16	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    6.3	203.5		g	 07.3 	9.94e-06	5	1	4.48e-07	9.57e-07	2.68e-07	u	273	0	0	0.00	-90.00	  573.0
This study	Puff Island	Puf1-3	Puf1-3	Puf1-3a	Puf1-3a:LP-DIR-T	hargrave 2016-04-25 13:11:42	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.4	202.5		g	 07.0 	9.01e-06	6	1	6.08e-08	9.90e-08	2.00e-07	u	273	0	0	0.00	-90.00	  623.0
This study	Puff Island	Puf1-3	Puf1-3	Puf1-3a	Puf1-3a:LP-DIR-T	hargrave 2016-04-26 10:08:08	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.5	202.9		g	 06.9 	7.65e-06	7	1	7.35e-08	1.17e-07	1.61e-07	u	273	0	0	0.00	-90.00	  673.0
This study	Puff Island	Puf1-3	Puf1-3	Puf1-3a	Puf1-3a:LP-DIR-T	hargrave 2016-04-26 17:38:28	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.5	204.2		g	 06.6 	6.75e-06	8	1	6.52e-08	9.15e-08	1.42e-07	u	273	0	0	0.00	-90.00	  723.0
This study	Puff Island	Puf1-3	Puf1-3	Puf1-3a	Puf1-3a:LP-DIR-T	hargrave 2016-05-02 14:29:22	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    3.2	203.0		g	 06.7 	6.45e-06	9	1	1.38e-07	2.91e-07	1.72e-07	u	273	0	0	0.00	-90.00	  748.0
This study	Puff Island	Puf1-3	Puf1-3	Puf1-3a	Puf1-3a:LP-DIR-T	hargrave 2016-05-02 20:53:25	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.6	204.4		g	 06.7 	6.31e-06	10	1	5.97e-08	8.99e-08	1.42e-07	u	273	0	0	0.00	-90.00	  773.0
This study	Puff Island	Puf1-3	Puf1-3	Puf1-3a	Puf1-3a:LP-DIR-T	hargrave 2016-05-03 19:46:14	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.0	205.1		g	 06.6 	6.03e-06	11	1	7.73e-08	1.33e-07	1.40e-07	u	273	0	0	0.00	-90.00	  798.0
This study	Puff Island	Puf1-3	Puf1-3	Puf1-3a	Puf1-3a:LP-DIR-T	hargrave 2016-05-12 15:27:09	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.9	204.0		g	 06.7 	5.58e-06	12	1	1.12e-07	2.27e-07	1.21e-07	u	273	0	0	0.00	-90.00	  823.0
This study	Puff Island	Puf1-3	Puf1-3	Puf1-3a	Puf1-3a:LP-DIR-T	hargrave 2016-05-16 13:06:18	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.9	203.0		g	 06.7 	5.25e-06	13	1	6.55e-08	1.27e-07	1.10e-07	u	273	0	0	0.00	-90.00	  833.0
This study	Puff Island	Puf1-3	Puf1-3	Puf1-3a	Puf1-3a:LP-DIR-T	hargrave 2016-05-16 19:07:09	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    3.4	205.0		g	 06.7 	4.91e-06	14	1	1.21e-07	2.44e-07	1.01e-07	u	273	0	0	0.00	-90.00	  843.0
