localityName,x,y,latitude,longitude,zone,altitude,horiz_precision,vert_precision,planeType,dip,dipAzimuth,strike,declination,rockUnit,timedate,notes,dec_corrected,strike_corr,dipAzimuth_corr,measurer
 Locality 1,681770.5411,5138460.313,46.37528532,-90.63646222, 15T,6,10,-1, Bedding,70.48312378,332.7958679,242.7958679,-2.02426147, Kallander Creek Volcanics, Wed Jul 20 13:51:12 2016, ,yes,,,NSH
 Locality 1,681777.7022,5138455.144,46.37523692,-90.63637119, 15T,6,5,-1, Bedding,74.42312622,332.3395386,242.3395386,-2.02426147, Kallander Creek Volcanics, Wed Jul 20 13:50:06 2016, ,yes,,,NSH
 Locality 1,681756.5523,5138436.82,46.37507783,-90.63665307, 15T,6,5,-1, Bedding,70.81891632,347.4789124,257.4789124,-2.02426147, Kallander Creek Volcanics, Wed Jul 20 13:48:01 2016, ,yes,,,NSH
 Locality 1,681756.5523,5138436.82,46.37507783,-90.63665307, 15T,6,5,-1, Bedding,69.19145203,327.6959839,237.6959839,-2.02426147, Kallander Creek Volcanics, Wed Jul 20 13:39:04 2016, Sandstone interbed,yes,,,NSH
 Locality 1,681778.9382,5138472.943,46.37539663,-90.63634822, 15T,6,10,-1, Bedding,69.16856384,331.8228149,241.8228149,-2.02426147, Kallander Creek Volcanics, Wed Jul 20 13:23:36 2016, ,yes,,,NSH
 Locality 1,681760.0588,5138452.263,46.37521575,-90.63660152, 15T,6,10,-1, Bedding,66.42572021,346.6538391,256.6538391,-2.02426147, Kallander Creek Volcanics, Wed Jul 20 13:21:44 2016, ,yes,,,NSH
 Locality 1,681191.4172,5140301.746,46.39199905,-90.64327318, 15T,12,10,-1, Bedding,76.4127655,287.5107117,197.5107117,-2.02426147, Freda, Wed Jul 20 11:47:39 2016, Stratigraphically highest exposure on oxbow of river ,yes,,,NSH
 Locality 1,681453.1139,5139847.091,46.38784057,-90.64004858, 15T,6,10,-1, Bedding,72.77021027,293.1796265,203.1796265,-2.02426147, Freda, Wed Jul 20 10:51:53 2016, ,yes,,,NSH
 Locality 1,681518.5143,5139780.503,46.38722425,-90.63922456, 15T,6,10,-1, Bedding,73.55464172,295.0937805,205.0937805,-2.02426147, Freda, Wed Jul 20 10:45:21 2016, Incredible exposure of interbedded cross-bedded sandstone and siltstone to very fine sandstone continues,yes,,,NSH
 Locality 1,681610.9975,5139788.997,46.3872758,-90.63801949, 15T,8,10,-1, Bedding,74.13057709,300.004303,210.004303,-2.02426147, Freda, Wed Jul 20 10:36:33 2016, ,yes,,,NSH
 Locality 1,681648.2445,5139662.792,46.38613096,-90.63758447, 15T,4,5,-1, Bedding,74.96756744,303.3612061,213.3612061,-2.02426147, Freda, Wed Jul 20 10:10:36 2016, ,yes,,,NSH
 Locality 1,681679.0117,5139744.468,46.38685713,-90.63715297, 15T,12,30,-1, Bedding,75.13057709,293.7450562,203.7450562,-2.02426147, Freda, Wed Jul 20 09:56:12 2016, ,yes,,,NSH
 Locality 1,681706.1212,5139568.785,46.3852701,-90.63686891, 15T,4,5,-1, Bedding,75.47118378,300.9915466,210.9915466,-2.02426147, Freda, Wed Jul 20 09:47:23 2016, ,yes,,,NSH
 Locality 1,681959.1193,5139571.204,46.38522383,-90.63358052, 15T,6,5,-1, Bedding,74.54710388,296.9143982,206.9143982,-2.02426147, Freda, Wed Jul 20 09:33:09 2016, ,yes,,,NSH
 Locality 1,681945.9675,5139572.465,46.38523871,-90.63375092, 15T,6,5,-1, Bedding,69.89874268,301.5521545,211.5521545,-2.02426147, Freda, Wed Jul 20 09:31:42 2016, ,yes,,,NSH
 Locality 1,681945.9675,5139572.465,46.38523871,-90.63375092, 15T,6,5,-1, Bedding,69.46185303,315.8876038,225.8876038,-2.02426147, Freda, Wed Jul 20 09:31:17 2016, ,yes,,,NSH
 Locality 1,681937.1947,5139574.617,46.38526042,-90.63386408, 15T,6,5,-1, Bedding,68.02501678,297.9778442,207.9778442,-2.02426147, Freda, Wed Jul 20 09:27:21 2016, ,yes,,,NSH
 Locality 1,681937.1947,5139574.617,46.38526042,-90.63386408, 15T,32.83341595,9102.311085,-1, Bedding,63.56770325,297.230072,207.230072,-2.02426147, Freda, Wed Jul 20 09:27:04 2016, ,yes,,,NSH
 Locality 1,681937.1947,5139574.617,46.38526042,-90.63386408, 15T,32.83341595,9102.311085,-1, Bedding,70.29199219,301.8460693,211.8460693,-2.02426147, Freda, Wed Jul 20 09:26:58 2016, ,yes,,,NSH
 Locality 1,681663.9822,5139720.501,46.38664565,-90.63735757, 15T,0,-1,-1, Bedding,73.9467392,294.8325501,204.8325501,-2.12359619, Freda, Fri Aug  5 08:31:28 2016, ,yes,,,OA
 Locality 1,681663.9822,5139720.501,46.38664565,-90.63735757, 15T,0,-1,-1, Bedding,73.06065369,305.071106,215.071106,-2.12359619, Freda, Fri Aug  5 08:31:14 2016, ,yes,,,OA
 Locality 1,681663.9822,5139720.501,46.38664565,-90.63735757, 15T,0,-1,-1, Bedding,75.86165619,258.3237305,168.3237305,-2.12359619, Freda, Fri Aug  5 08:30:40 2016, ,yes,,,OA
 Locality 1,681663.9822,5139720.501,46.38664565,-90.63735757, 15T,0,-1,-1, Bedding,75.05418396,262.5340881,172.5340881,-2.12359619, Freda, Fri Aug  5 08:29:13 2016, ,yes,,,OA
 Locality 1,681663.9822,5139720.501,46.38664565,-90.63735757, 15T,0,-1,-1, Bedding,76.08422852,307.6360474,217.6360474,-2.12359619, Freda, Fri Aug  5 08:28:34 2016, ,yes,,,OA
 Locality 1,681663.9822,5139720.501,46.38664565,-90.63735757, 15T,0,-1,-1, Bedding,76.39537048,341.0269775,251.0269775,-2.12359619, Freda, Fri Aug  5 08:28:08 2016, ,yes,,,OA
 Locality 1,681663.9822,5139720.501,46.38664565,-90.63735757, 15T,0,-1,-1, Bedding,73.72008514,326.5829773,236.5829773,-2.12359619, Freda, Fri Aug  5 08:27:12 2016, ,yes,,,OA
 Locality 1,681663.9822,5139720.501,46.38664565,-90.63735757, 15T,0,-1,-1, Bedding,75.1823349,301.0393372,211.0393372,-2.12359619, Freda, Thu Aug  4 15:04:17 2016, ,yes,,,OA
 Locality 1,681765.7191,5138465.366,46.37533205,-90.6365229, 15T,0,-1,-1, Bedding,73.56092834,45.51210785,315.5121155,-2.12359619, Freda, Thu Aug  4 15:03:23 2016, ,yes,,,OA
 Locality 1,681765.7191,5138465.366,46.37533205,-90.6365229, 15T,0,-1,-1, Bedding,77.71855164,304.8872376,214.8872376,-2.12359619, Freda, Thu Aug  4 14:44:34 2016, ,yes,,,OA
 Locality 1,681765.7191,5138465.366,46.37533205,-90.6365229, 15T,0,-1,-1, Bedding,78.62488556,296.6245422,206.6245422,-2.12359619, Freda, Thu Aug  4 14:44:16 2016, ,yes,,,OA
 Locality 1,681765.7191,5138465.366,46.37533205,-90.6365229, 15T,0,-1,-1, Bedding,69.72146606,290.1520996,200.1520996,-2.12359619, Freda, Thu Aug  4 14:43:58 2016, ,yes,,,OA
 Locality 1,681766.7285,5138460.95,46.37529207,-90.6365115, 15T,12,5,-1, Bedding,64.67811584,344.2137146,254.2137146,-2.12359619, Inter flow sediments, Mon Aug  1 09:41:26 2016, ,yes,,,OA
 Locality 1,681768.6118,5138455.138,46.37523931,-90.63648929, 15T,12,10,-1, Bedding,67.62808228,351.2676697,261.2676697,-2.12359619, Inter flow sediments, Mon Aug  1 09:41:13 2016, ,yes,,,OA
 Copper Falls State Park,681800.8536,5138388.349,46.37463007,-90.63609635, 15T,6,5,-1, Bedding,62.9899826,354.1038818,264.1038818,-4.31774902, Kallander Creek inter flow sediment, Tue Jul 19 11:09:27 2016, ,,,,LF
 Copper Falls State Park,681805.0405,5138390.52,46.37464846,-90.63604111, 15T,6,5,-1, Bedding,63.58736801,359.5492249,269.5492249,-4.31774902, Kallander Creek inter flow sediment, Tue Jul 19 11:09:08 2016, ,,,,LF
 Copper Falls State Park,681802.6955,5138393.428,46.37467525,-90.63607045, 15T,8,5,-1, Bedding,57.57659912,350.7185669,260.7185669,-4.31774902, Kallander Creek inter flow sediment, Tue Jul 19 11:08:43 2016, ,,,,LF
 Copper Falls State Park,681977.4557,5138131.165,46.37226997,-90.63390196, 15T,6,5,-1, Bedding,62.13697815,331.2608643,241.2608643,-4.31774902, Kallander Creek basalts, Tue Jul 19 10:31:38 2016, ,,,,LF
 Copper Falls State Park,682125.6184,5138057.596,46.37156858,-90.63200581, 15T,6,5,-1, Bedding,54.20893478,320.5734253,230.5734253,-4.31774902, Kallander Creek basalts, Tue Jul 19 09:40:22 2016, ,,,,LF
 Copper Falls State Park,682125.0709,5138058.428,46.3715762,-90.6320126, 15T,8,5,-1, Bedding,53.40875244,315.7460022,225.7460022,-4.31774902, Kallander Creek basalts, Tue Jul 19 09:40:14 2016, ,,,,LF
,,,,,,,,, Bedding,79,304,214,-2.12359619,Freda,4-Aug,,no,,,LF
,,,,,,,,, Bedding,66,301,211,-2.12359619,Freda,4-Aug,,no,,,LF
,,,,,,,,, Bedding,68,300,210,-2.12359619,Freda,4-Aug,,no,,,LF
,,,,,,,,, Bedding,76,300,210,-2.12359619,Freda,4-Aug,,no,,,LF
,,,,,,,,, Bedding,72,309,219,-2.12359619,Freda,4-Aug,,yes,,,NSH
,,,,,,,,, Bedding,72,304,214,-2.12359619,Freda,4-Aug,,yes,,,NSH
,,,,,,,,, Bedding,66,296,206,-2.12359619,Freda,4-Aug,,yes,,,NSH
,,,,,,,,, Bedding,72,302,212,-2.12359619,Freda,4-Aug,,yes,,,NSH
,,,,,,,,, Bedding,73,300,210,-2.12359619,Freda,4-Aug,,yes,,,NSH
,,,,,,,,, Bedding,70,302,212,-2.12359619,Freda,4-Aug,,yes,,,NSH
,,,,,,,,, Bedding,74,301,211,-2.12359619,Freda,4-Aug,,yes,,,NSH
,,,,,,,,, Bedding,77,292,202,-2.12359619,Freda,4-Aug,,yes,,,NSH
,,,,,,,,, Bedding,70,301,211,-2.12359619,Freda,20-Jul,,yes,,,NSH
,,,,,,,,, Bedding,63,297,207,-2.12359619,Freda,20-Jul,,yes,,,NSH
,,,,,,,,, Bedding,68,297,207,-2.12359619,Freda,20-Jul,,yes,,,NSH
,,,,,,,,, Bedding,69,315,225,-2.12359619,Freda,20-Jul,,yes,,,NSH
,,,,,,,,, Bedding,69,301,211,-2.12359619,Freda,20-Jul,,yes,,,NSH
